Date;Series1;Series2;Series3
10/08/16;94.07227163;179.053951;167.9244328
09/08/16;101.092259;177.4064867;169.2890361
08/08/16;96.22083782;178.0788539;171.2159649
05/08/16;100.064839;179.3040364;171.5247611
04/08/16;105.5927188;166.1930032;168.5774032
03/08/16;96.6832583;166.1184373;173.1503117
02/08/16;103.2990765;174.184966;164.2036982
01/08/16;97.71290493;167.2480364;163.9842693
29/07/16;95.61897106;179.1409704;171.6344822
28/07/16;98.31047891;166.9688167;169.4656101
27/07/16;106.1452643;179.1604558;172.5664086
26/07/16;95.65917891;166.7199202;170.4468654
25/07/16;96.292726;177.4010746;174.9595031
22/07/16;108.6644741;175.0596451;171.300468
21/07/16;104.6949509;174.4958778;169.3110749
20/07/16;94.55748115;180.8225984;170.9419175
19/07/16;99.96315316;173.1219295;169.5880368
18/07/16;108.8620677;174.6379633;177.3209082
15/07/16;97.13442025;169.7298149;176.128389
14/07/16;91.72959924;179.2470064;169.3535542
13/07/16;109.5082405;174.9135253;167.6914449
12/07/16;96.78501787;171.0590594;171.4602838
11/07/16;98.42419689;163.7175958;162.5201679
08/07/16;90.4335203;158.3032688;160.539598
07/07/16;101.6408036;167.6522124;159.7220074
06/07/16;102.6195615;160.8675653;155.7592859
05/07/16;98.77333811;169.0495952;158.7888146
01/07/16;106.7873885;162.9979471;163.1089109
30/06/16;89.43053063;162.0061293;157.8317396
29/06/16;95.70043661;163.0896628;153.6029047
28/06/16;99.77740776;158.7500586;148.7796074
27/06/16;93.04387975;153.9696002;154.0864457
24/06/16;96.1507359;155.0237823;155.9249884
23/06/16;105.0208386;172.1627783;160.5632875
22/06/16;101.7134362;162.7088777;162.2274054
21/06/16;104.5820679;160.2518651;157.103792
20/06/16;94.24671201;160.2379615;153.2701503
17/06/16;94.01326242;164.8360682;151.7858872
16/06/16;89.62308188;158.9613156;158.8695536
15/06/16;94.46067787;160.1478726;159.2272461
14/06/16;92.34677918;160.8483975;161.1391667
13/06/16;89.12496102;170.3302016;157.7776664
10/06/16;101.0015992;169.8740104;162.05825
09/06/16;103.3020251;172.0939615;161.5980356
08/06/16;88.93234158;158.1107251;165.3152565
07/06/16;100.3222739;164.1120951;164.7347388
06/06/16;106.3345752;171.9174294;165.5195532
03/06/16;102.1904129;166.0421841;169.6651171
02/06/16;88.6680064;170.3015111;170.5079603
01/06/16;88.79054513;170.6978765;171.0784505
31/05/16;102.7823353;171.4739747;172.0796996
27/05/16;100.5216317;162.9931785;169.5066046
26/05/16;92.96754027;157.1751234;171.9348607
25/05/16;98.10770915;161.3401105;173.7855632
24/05/16;92.43580773;162.2064172;163.518095
23/05/16;103.9435574;153.3532403;168.1553139
20/05/16;88.89027109;154.9759626;165.2146732
19/05/16;85.5483926;157.0178793;163.3372421
18/05/16;102.5483244;151.8758719;170.3097397
17/05/16;95.34579617;164.9128158;160.8055846
16/05/16;97.42554154;155.2324472;165.3796062
13/05/16;105.6536349;162.8722683;164.8567964
12/05/16;100.6692832;164.8988812;162.8699367
11/05/16;89.4700141;153.6526255;167.3539963
10/05/16;94.78143293;167.6472949;173.1075183
09/05/16;101.3050282;155.5509113;166.016835
06/05/16;86.56868776;158.2208797;167.351471
05/05/16;106.6010511;157.1110608;172.8586135
04/05/16;91.34482639;159.4141851;173.262048
03/05/16;99.21215557;157.5950401;168.0525664
02/05/16;96.23051226;158.6105682;176.6359661
29/04/16;102.9644472;149.3686817;171.0233146
28/04/16;100.1414225;161.1374535;173.1992581
27/04/16;91.04959192;164.2298841;174.4713483
26/04/16;92.50764286;160.550008;179.5608526
25/04/16;86.58803523;153.7351676;178.4975301
22/04/16;102.6386646;162.4261039;177.6690393
21/04/16;100.8783777;163.9562546;179.7422696
20/04/16;104.3407188;161.5618184;172.7360783
19/04/16;100.1539335;161.5187815;177.141287
18/04/16;107.6922684;160.8555581;170.4752373
15/04/16;97.33094594;160.7043125;167.122528
14/04/16;97.45007592;154.9073132;167.1315818
13/04/16;99.61829615;165.4279787;167.8364892
12/04/16;98.16548702;164.4206748;161.2212787
11/04/16;98.94401977;156.4999547;166.5130922
08/04/16;97.47512236;157.0024583;155.9032632
07/04/16;104.5595119;151.9431606;162.4622821
06/04/16;92.95549926;158.2561879;165.4362472
05/04/16;98.6877248;160.4898935;165.5199632
04/04/16;91.00549115;163.0024484;165.248033
01/04/16;102.5061576;161.8622618;166.7291411
31/03/16;102.0594935;159.5995032;169.6633109
30/03/16;105.3851011;164.9772669;169.7711017
29/03/16;104.3254247;166.5782611;163.7478979
28/03/16;88.7936379;162.1275273;168.9354567
24/03/16;106.456649;159.0852176;159.8207578
23/03/16;94.97922859;151.996697;166.1747894
22/03/16;96.99567329;153.3743965;160.4858511
21/03/16;99.14718604;153.0311635;168.4738381
18/03/16;107.1370094;159.1675502;162.2519259
17/03/16;100.4675858;162.2258893;158.7141406
16/03/16;89.31531003;157.1848575;158.6182885
15/03/16;104.2189991;147.7526813;164.4945764
14/03/16;87.55008502;146.0873639;161.6552435
11/03/16;103.1535765;147.2292955;161.4030003
10/03/16;98.30869917;154.7506851;157.6246749
09/03/16;94.67421365;158.5252898;163.6061803
08/03/16;100.7001376;151.9681257;165.9121509
07/03/16;87.8279519;146.3759526;164.8602052
04/03/16;96.16829065;152.9729698;170.3493876
03/03/16;95.87247869;140.4948385;168.2346352
02/03/16;94.46781576;139.4571175;166.4825244
01/03/16;91.79534843;140.3511149;159.9215825
29/02/16;97.49450624;145.0902965;155.5975157
26/02/16;93.46897184;136.2261992;160.143184
25/02/16;97.07970016;151.3942781;153.8906032
24/02/16;91.02074103;143.6765265;153.4681894
23/02/16;92.11201507;140.1778531;149.0384855
22/02/16;90.45923266;139.75279;157.4552297
19/02/16;90.14389095;142.1324522;158.1836015
18/02/16;86.07533014;149.9244203;161.6561229
17/02/16;95.78600139;135.0229448;160.3835168
16/02/16;101.1111932;137.3212687;155.7455265
12/02/16;105.1039038;130.3325189;156.229816
11/02/16;103.3385768;126.8708249;146.8635198
10/02/16;96.79995923;124.7989733;159.9616874
09/02/16;88.62323647;139.4799053;156.8594435
08/02/16;97.66807473;136.6885171;158.7212034
05/02/16;92.46799564;133.3679985;162.9811052
04/02/16;96.77629892;131.7101156;168.1051246
03/02/16;92.51345556;131.2846852;163.4812666
02/02/16;89.84567557;130.660982;165.5431367
01/02/16;100.8393192;127.0936876;167.472629
29/01/16;88.99452439;133.9136676;165.6025402
28/01/16;89.22480766;132.3237153;166.1904987
27/01/16;95.38306503;126.0290278;158.7901674
26/01/16;98.92593105;132.1152072;165.1227964
25/01/16;89.59000473;133.2470084;156.0950461
22/01/16;93.07708414;139.2964815;169.9034729
21/01/16;87.91227118;132.1061486;156.78042
20/01/16;81.92643957;136.5537477;167.733987
19/01/16;83.16431965;142.3452183;168.3575071
15/01/16;88.33117808;134.2920395;163.9206185
14/01/16;83.37901452;136.8437206;167.4423895
13/01/16;80.92462316;135.3738697;169.3761687
12/01/16;81.02596046;148.3535481;175.4421668
11/01/16;93.22683313;140.3269843;174.3676561
08/01/16;80.61007615;143.5980924;169.1367765
07/01/16;89.26816673;147.9029013;176.6858116
06/01/16;97.81546628;151.4261465;180.2820504
05/01/16;95.16515283;143.1745229;186.9854895
04/01/16;101.4792266;146.0667621;184.7624812
31/12/15;99.85928205;146.4278473;189.5459961
30/12/15;84.92402991;143.9640307;190.8009636
29/12/15;98.89425704;143.9752746;192.0789412
28/12/15;93.44120624;153.634169;195.2174698
24/12/15;83.33845869;149.3808415;196.2031214
23/12/15;86.64298018;150.4955152;194.5319858
22/12/15;85.9186533;140.22996;190.5726547
21/12/15;89.0377234;138.2815939;183.8337458
18/12/15;85.07516887;147.4931082;179.9096979
17/12/15;83.67497359;142.6171271;195.9153167
16/12/15;90.44154682;140.6038145;197.9116825
15/12/15;93.32604022;139.460214;186.123544
14/12/15;100.9434126;140.5763653;184.8606851
11/12/15;81.83487926;151.0801267;183.9039216
10/12/15;87.03957775;152.8805335;189.1785632
09/12/15;99.29158544;141.4311448;187.4570088
08/12/15;89.53753455;150.2806606;190.6830881
07/12/15;99.66501997;145.9488891;192.8849609
04/12/15;94.41801013;144.8440598;198.5001407
03/12/15;91.50881417;149.9353508;194.9005963
02/12/15;94.46844021;155.4882458;199.0656874
01/12/15;97.3870668;142.8891587;203.7933169
30/11/15;87.88958883;145.4727985;199.7742659
27/11/15;85.77548932;150.8095029;203.2132336
25/11/15;82.07579096;154.5036133;197.6190123
24/11/15;98.76236626;140.9409514;199.4525032
23/11/15;86.72951517;155.4539189;196.2852757
20/11/15;97.40316059;144.4012989;200.9744679
19/11/15;98.6755866;146.598013;204.8865871
18/11/15;83.15368311;138.189412;203.1673114
17/11/15;78.41149859;138.9819281;204.0974021
16/11/15;83.49010569;143.4984605;205.6406264
13/11/15;81.62668001;144.5733598;197.8415838
12/11/15;84.96286617;142.1251823;196.2400508
11/11/15;85.99363942;137.0053929;210.0200893
10/11/15;80.25017527;138.447205;202.6781321
09/11/15;91.65164572;151.1576429;201.7021003
06/11/15;85.71789899;154.9182698;212.0898364
05/11/15;83.76239968;150.300334;202.6967724
04/11/15;100.7560605;144.3182771;199.3858914
03/11/15;89.40604841;157.6010362;199.1359298
02/11/15;80.92837582;142.4136366;201.3599438
30/10/15;83.13767537;145.1506808;190.8779817
29/10/15;92.39735277;151.5609884;198.3632469
28/10/15;90.44207217;156.2066624;200.8211408
27/10/15;94.10962335;141.2480778;190.398649
26/10/15;81.94646697;150.9772177;196.267516
23/10/15;91.31958704;147.6667068;195.4170233
22/10/15;78.84202596;156.3778192;188.2688234
21/10/15;78.71889562;150.5138042;185.6328107
20/10/15;84.18821878;154.2177785;189.063786
19/10/15;86.15475547;160.3970644;192.2545985
16/10/15;94.18968943;153.6163295;196.9023065
